word,,
a,"uh-huh,abbe,aday,aggrey,aigner,allais,allay,anway,array,asay,astray,away,b'nai,b-j,ballet,banpais,beauvais,belay,beret,bernay,betray,bombay,boulais,boulay,bouquet,buffet,ca,cache,cafe,calais,callais,calvey,carre,cathay,chalet,ciskei,cliche,coday,convey,crochet,croquet,d'orsay,da,decay,defray,dekay,delay,delray,devey,dismay,display,dk,donais,dorais,dossier,dovey,dumais,dupay,ek,essay,filet,fillet,francais,ga,galle,gerais,gervais,ha,halfway,hefei,hervey,hevey,hongwei,hooray,hurray,ilhae,imlay,jaquay,jose,jouret,kamei,langlais,levey,lurvey,mackay,maclay,macrae,maltais,manet,marais,marquai,mcbay,mccay,mcclay,mccrae,mccray,mccrea,mcgray,mckay,mclay,mcnay,mcquay,mcrae,mcray,mcshea,mcstay,mcvay,mcveigh,mcvey,millay,mobay,monet,morais,moray,moutray,mulvey,nihei,nikkei,nisei,nissei,o'dea,o'shea,obey,oj,ok,okay,olay,ole,orsay,palais,parquet,passe,per-se,pevey,porcher,portray,prepay,puree,purvey,rene,renee,repay,replay,resnais,risque,saute,sergei,servais,sevey,shinsei,sinay,sochet,soiree,sorbet,souffle,stupay,survey,today,toray,torme,toupee,turvey,vadnais,valet,voisey,waga,wah-pei,zalay,depardieu,aaa,aka,antigay,attache,bouvier,bta,bua,cabaret,cabernet,cea,chevrolet,dak,deseret,disarray,disobey,dunlavey,ekk,faberge,fiance,intraday,ira,ita,jna,jonbenet,kkk,la-carre,lyonnais,mcgarvey,meservey,monterey,monterrey,overplay,overstay,perrier,piaget,pinochet,redisplay,santa-fe,sta,touvier,underplay,underway,usa,uva,asea,buga,cabriolet,ceta,cluj,communique,compusa,foia,hiaa,l'espalier,naivete,noaa,societe,yakutakay,zepa",adjective
able,"abel,abell,cable,chaebol,crable,fable,frable,gable,grable,graybeal,hable,kable,knable,label,laible,mabel,mable,raible,sable,schaible,stabile,stable,table,waibel,zabel,disable,enable,mislabel,relabel,unable,unstable,intercable
",adjective
about,"all-out,devout,redoubt,reroute,stake-out,throughout,without
",adjective
above,"belove,deneuve,labove,o'glove,thereof,vanhove
",adjective
academic,"demick,emick,emmick,nemec,remic,remick,endemic,pandemic,polemic,systemic,epidemic",adjective
acceptable,"perceptible,susceptible",adjective
accepted,"excepted,intercepted
",adjective
accepting,"epting,excepting,intercepting
",adjective
accessible,addressable,adjective
accidental,"dental,gentle,lentil,mental,rental,sentell,yentl,benel,dental,fehnel,fennel,fennell,gentle,grenell,haenel,henle,kennel,kennell,pennel,pennell,phenol,quennel,tennell,when'll,judgemental,judgmental,parental,pimental,simental,judgmental,accidental,compartmental,continental,departmental,detrimental,elemental,fundamental,governmental,incidental,incremental,instrumental,monumental,occidental,occidentale,oriental,ornamental,regimental,sentimental,supplemental,temperamental,transcendental,accidental,continental,departmental,detrimental,elemental,fundamental,incremental,instrumental,monumental,occidental,oriental,sentimental,supplemental,transcendental",adjective
according,"boarding,cording,hoarding,warding,affording,awarding,recording,rewarding
",adjective
accurate,"inaccurate
",adjective
acquired,"byard,fired,hired,sired,tired,wired,admired,conspired,desired,inquired,inspired,rehired,required,retired,rewired,transpired,unexpired,uninspired
",adjective
across,"amoss,chandross,chavous,emboss,exhausts,hot-cross,lacross,lacrosse,recross,vandross
",adjective
acting,"attracting,detracting,distracting,enacting,exacting,extracting,impacting,reacting,redacting,retracting,subtracting,counteracting,interacting,subcontracting
",adjective
active,"attractive,inactive,proactive,reactive,refractive,hyperactive,interactive,overactive,retroactive,unattractive",adjective
actual,"actual
",adjective
added,"hadad,haddad,padded,shadid
",adjective
additional,"additional
,conditional,nutritional,traditional,transitional",adjective
addressed,"abreast,addwest,arrest,assessed,attest,behest,bequest,celeste,compressed,confessed,congest,contest,d'allest,depressed,detest,digest,digressed,distressed,divest,expressed,farwest,finessed,impressed,infest,ingest,invest,midwest,molest,natwest,northwest,norwest,obsessed,oppressed,penwest,possessed,professed,progressed,protest,recessed,repressed,request,retest,southwest,stateswest,suggest,suppressed,transgressed,undressed,unrest,acquiesced,coalesced,dispossessed,eastern-west,indigest,intrawest,rearrest,reassessed,reinvest,repossessed,self-professed,telequest,telewest,unaddressed,unimpressed
",adjective
adequate,"inadequate,inadequate
",adjective
admitted,"fitted,it'd,knitted,pitted,whitted,witted,acquitted,committed,emitted,omitted,permitted,refitted,remitted,submitted,transmitted,readmitted,recommited,resubmitted,uncommitted,unremitted
",adjective
adopted,"opted,co-opted
",adjective
advance,"askance,duran's,enhance,expanse,finance,lafrance,mccance,romance,pomerance,pomeranz,refinance,underfinance
",adjective
advanced,"enhanced,entranced,financed,refinanced,underfinanced
",adjective
advancing,"dancing,glancing,lancing,lansing,prancing,sansing,enhancing,financing,romancing,refinancing
",adjective
advertised,"advised,apprised,baptized,chastised,comprised,despised,devised,disguised,incised,pint-sized,revised,surmised,surprised,advertised,advertised,oversized,undisguised,unrevised",adjective
advised,"apprised,baptized,chastised,comprised,despised,devised,disguised,incised,pint-sized,revised,surmised,surprised,advertised,oversized,undisguised,unrevised",adjective
affected,"collected,connected,corrected,defected,deflected,dejected,detected,directed,dissected,effected,ejected,elected,erected,expected,infected,inflected,injected,inspected,neglected,objected,perfected,projected,protected,reflected,rejected,respected,selected,subjected,suspected,disaffected,disconnected,disrespected,interjected,intersected,misdirected,recollected,reconnected,redirected,reelected,resurrected,unaffected,uncollected,unconnected,uncorrected,undetected,unelected,unexpected,uninfected,unprotected,unsuspected",adjective
affecting,"collecting,connecting,correcting,defecting,deflecting,detecting,directing,dissecting,effecting,electing,erecting,expecting,infecting,injecting,inspecting,neglecting,objecting,perfecting,projecting,prospecting,protecting,reflecting,rejecting,respecting,selecting,subjecting,suspecting,disconnecting,disrespecting,intersecting,recollecting,reconnecting,redirecting,reelecting,resurrecting,unsuspecting
",adjective
afraid,"abrade,allayed,arcade,arrayed,betrayed,blockade,brascade,brigade,brocade,buffeted,cascade,charade,cliched,conveyed,crocheted,crusade,decade,decayed,degrade,delayed,dismayed,displayed,dissuade,evade,filleted,forbade,granade,grenade,handmade,home-made,homemade,invade,kincade,kincaid,manmade,marcade,mccade,mcdade,mcdaid,mcglade,mcquade,mcquaid,mcquaide,mislaid,obeyed,okayed,outweighed,parade,persuade,pervade,portrayed,prepaid,remade,repaid,replayed,sauteed,surveyed,tirade,unmade,unpaid,unswayed,upbraid,upgrade,colonnade,disobeyed,lemonade,masquerade,metrodade,overpaid,overplayed,overstayed,palisade,promenade,serenade,unafraid,underpaid,underplayed,usaid
",adjective
after,"drafter,laughter,rafter,hereafter,thereafter
",adjective
afternoon,"antoon,aoun,attune,baboon,balloon,banoun,barloon,bassoon,bethune,buffoon,cahoon,calhoon,calhoun,cancun,cardoon,cartoon,cocoon,cohoon,commune,corroon,dekroon,festoon,galloon,hamdoon,harpoon,harroun,huntoon,immune,impugn,karoun,karun,laffoon,lagoon,lampoon,liqun,magoon,majnoon,maroon,mattoon,mcclune,mccuen,mccune,mckune,monsoon,muldoon,platoon,pontoon,raccoon,rangoon,saloon,sassoon,terhune,tycoon,typhoon,verboon,xiaoyun,disharoon,ducommun,opportune,picayune,viromune,wotherspoon,contrabassoon,inopportune
",adjective
