word,
accords,"accord's,affords,awards,records,rewards,towards"
achieves,"aviv's,believes,perceives,receives,relieves,retrieves,misperceives,recitatives"
acquires,"ayers,briars,bryars,buyer's,buyers,buyers',byars,byers,criers,driers,dryers,fire's,fires,fliers,flyers,friars,fryers,grier's,hires,hyers,i'ers,liars,meier's,meyer's,meyers,miers,myers,pliers,priors,pryor's,smyers,spiers,squires,stiers,styers,swyers,syers,tires,triers,viars,wires,wyers,aspires,desires,expires,inquires,requires,retires,supplier's,suppliers,suppliers',transpires"
address,"aggress,assess,attests,bequests,caress,compress,confess,contests,depress,digests,digress,distress,divests,egress,ellesse,etess,excess,express,express',finesse,fluoresce,forbess,fs,impress,infests,invests,l'express,largesse,ls,lutece,lyness,molests,noblesse,obsess,oppress,possess,profess,progress,protests,recess,redress,regress,repress,requests,retests,siese,simplesse,success,suggests,suppress,transgress,ts,undress,unless,us,vs,abs,acquiesce,ccs,coalesce,convalesce,cps,cus,dispossess,dss,ers,ins,las,lcs,nonetheless,oas,pos,reassess,reinvests,repossess,uss,uys,abts,adss,cmos,hces,kjos,nevertheless,stds,tcas,ws"
admits,"acquits,befits,berlitz,commits,emits,moritz,obits,omits,ovitz,permits,submits,transmits"
agrees,"andries,appease,ashis,aziz,belize,bibi's,brunjes,burmese,c.d.s,cadiz,capri's,ccs,cds,chemise,chinese,decrees,defrees,defries,degrees,disease,displease,draftees,duvrees,esprit's,faries,fejes,foresees,francies,furches,hardee's,jaycees,lessees,louise,maltese,marie's,mcclees,mcgee's,mckee's,mclees,mcnease,mcnees,menees,nestle's,ortiz,pawnees,reprise,ruiz,rupees,scorsese,sinise,talese,trainees,trapeze,trustee's,trustees,trustees',tt's,unease,vertrees,abductees,absentees,abts,adoptees,amputees,annamese,apc's,appointees,aujourd'hui's,balinese,cantonese,conferees,delouis,deportees,designees,detainees,devotees,disagrees,enlistees,enrollees,escapees,expertise,franchisees,franchisees',guarantee's,guarantees,guaranties,guaranty's,honorees,inductees,internees,japanese,javanese,jeanlouis,journalese,licensees,nepalese,nominee's,nominees,overseas,parolees,referee's,referees,resignees,retiree's,retirees,retirees',returnees,rwandese,siamese,sinhalese,stds,sudanese,taiwanese,tennessee's,timorese,underseas,abdulaziz,indochinese,interviewees,lapd's"
allows,"arouse,avows,carouse,endows,espouse"
amounts,"account's,accounts,discounts,recounts"
annoys,"aloys,bolshoi's,deploys,destroys,eloise,employs,enjoys,hanoi's,mccoys,illinois's,illinois"
appears,"adheres,algiers,amir's,arrears,bassir's,careers,cashier's,cashiers,debeers,frontier's,frontiers,guinier's,miears,premier's,premieres,premiers,shamir's,tangiers,wazir's,zaire's,auctioneers,bandoliers,budgeteers,cavaliers,desrosiers,disappears,engineers,engineers',financiers,gondoliers,interferes,marketeers,mutineers,pioneer's,pioneers,profiteers,racketeers,reappears,souvenirs,summiteers,volunteers,wagoneers,conventioneers,electioneers"
applies,"advise,allies,ally's,apprise,arise,baptize,belies,chastise,complies,comprise,decries,deffeyes,defies,demise,denies,despise,devise,disguise,emprise,goodbyes,implies,incise,julies,july's,marseilles,mcfly's,mihai's,pint-size,relies,replies,reprise,revise,shanghai's,supplies,supply's,surmise,surprise,unties,unwise,upsize,vanhise,duis,improvise,oversize,underlies"
approves,"behooves,disproves,improves,removes,disapproves"
arrives,"deprives,derives,gonaives,revives,survives"
assumes,"consumes,costumes,exhumes,maktoums,parfums,perfumes,presumes,resumes"
assures,"brochures,detours,endures,ensures,insures,matures,obscures,secures,amanpour's,beladur's,reassures"
attempts,"exempts,attempts"
attends,"amends,arends,ascends,befriends,commends,contends,defends,depends,descends,extends,intends,offends,portends,pretends,suspends,transcends,recommends"
becomes,succumbs
begins,"akins,askins,begin's,berlin's,chemins,has-beens,mcginnes,violins"
believes,"achieves,aviv's,perceives,receives,relieves,retrieves,misperceives,recitatives"
belongs,"alongs,prolongs,sarongs"
bites,"clevite's,delights,excites,ignites,incites,invites,nonwhites,polites,recites,rewrites,stylites,tonight's,unites,de-excites,reunites,semi-heights"
brings,"beijing's,xiaoping's"
buries,"aires,aries,berries,berris,berry's,bury's,carey's,cherries,dairies,fairies,ferries,ferry's,gary's,gerry's,harries,harry's,jerry's,karis,kerrey's,kerry's,larry's,marries,mary's,perry's,prairie's,sherri's,sherry's,terese,terry's,varies,antares,canaries,pierie's,rameriz,barillari's"
chances,"ansa's,dances,france's,glances,lance's,prances,rance's,stances,advances,enhances,expanses,finances,romances,refinances"
chooses,"bruises,cruises,cruz's,fuses,fuzes,guses,hughes's,loses,muses,news's,oozes,ruses,sousa's,souzas,uses,abuses,accuses,amuses,confuses,diffuses,excuses,infuses,mahfouz's,misuses,refuses,reuses"
collects,"affects,connects,corrects,defects,deflects,detects,directs,dissects,effects,ejects,elect's,elects,erects,expects,infects,injects,inspects,neglects,objects,projects,protects,reflects,rejects,respects,selects,subjects,suspect's,suspects,disrespects,interjects,intersects,recollects,reconnects"
compares,"affairs,bancshares',d'affaires,declares,despairs,downstairs,frontieres,impairs,moliere's,pierre's,prepares,repairs,upstairs,billionaires,millionaire's,millionaires,questionnaires,unawares"
completes,"competes,deceits,defeats,depletes,elites,mistreats,petites,receipts,repeats,retreats"
computes,"beirut's,cahoots,commutes,dilutes,disputes,macoutes,pollutes,pursuits,recruit's,recruits,refutes,salutes"
concerns,"adjourns,concern's,concerns',returns,returns',sauternes"
confirms,"affirms,reaffirms"
connects,"affects,collects,corrects,defects,deflects,detects,directs,dissects,effects,ejects,elect's,elects,erects,expects,infects,injects,inspects,neglects,objects,projects,protects,reflects,rejects,respects,selects,subjects,suspect's,suspects,disrespects,interjects,intersects,recollects,reconnects"
consists,"assists,consists,enlists,exists,insists,persists,resists,assists,consists,enlists,exists,insists,persists,resists,abyss,amiss,assists,consists,dismiss,enlists,exists,fariss,furniss,gillis,insists,persists,phariss,remiss,resists,preexists,preexists,alusuisse,preexists,reminisce"
corrects,"affects,collects,connects,defects,deflects,detects,directs,dissects,effects,ejects,elect's,elects,erects,expects,infects,injects,inspects,neglects,objects,projects,protects,reflects,rejects,respects,selects,subjects,suspect's,suspects,disrespects,interjects,intersects,recollects,reconnects"
courses,"bourse's,bourses,course's,force's,forces,forces',horse's,horses,horses',sources,sources',divorces,endorses,enforces,reinforces"
