id,title,1_syllable,2_syllables,3_syllables,4_syllables,5_syllables,6_syllables,7_syllables,8_syllables,9_syllables,10_syllables,letter
1,a,"a, brugh, ca, dah, duh, huh, klugh, krugh, rugh, ruh, sta, suh, the, uh, uhh, a, a., ae, ay, bay, baye, bayh, bey, blay, bley, brae, bray, brey, c'est, cay, che, clay, cray, dae, day, daye, de, dey, dray, drey, fay, faye, fe, fey, flay, fray, frey, gay, gaye, gray, graye, grey, guay, gway, haigh, hay, haye, hey, hwe, j, j., jae, jay, jaye, k, k., kay, kaye, khe, klay, kley, kray, krey, lait, lay, laye, lei, ley, leyh, mae, may, maye, mei, mey, nay, ne, neigh, nej, ney, pay, paye, pei, play, pray, prey, quai, quay, quaye, rae, ray, raye, re, reay, rey, say, saye, schey, schley, se, seay, shay, shea, slay, sleigh, smay, snay, spey, spray, stay, stray, strey, sway, sze, tae, tay, they, tray, trey, vey, way, waye, wei, weigh, wey, whey, wray, wy, yay, yea","uh-huh, abbe, aday, aggrey, aigner, allais, allay, anway, array, asay, astray, away, b'nai, b-j, ballet, banpais, beauvais, belay, beret, bernay, betray, bombay, boulais, boulay, bouquet, buffet, ca, cache, cafe, calais, callais, calvey, carre, cathay, chalet, ciskei, cliche, coday, convey, crochet, croquet, d'orsay, da, decay, defray, dekay, delay, delray, devey, dismay, display, dk, donais, dorais, dossier, dovey, dumais, dupay, ek, essay, filet, fillet, francais, ga, galle, gerais, gervais, ha, halfway, hefei, hervey, hevey, hongwei, hooray, hurray, ilhae, imlay, jaquay, jose, jouret, kamei, langlais, levey, lurvey, mackay, maclay, macrae, maltais, manet, marais, marquai, mcbay, mccay, mcclay, mccrae, mccray, mccrea, mcgray, mckay, mclay, mcnay, mcquay, mcrae, mcray, mcshea, mcstay, mcvay, mcveigh, mcvey, millay, mobay, monet, morais, moray, moutray, mulvey, nihei, nikkei, nisei, nissei, o'dea, o'shea, obey, oj, ok, okay, olay, ole, orsay, palais, parquet, passe, per-se, pevey, porcher, portray, prepay, puree, purvey, rene, renee, repay, replay, resnais, risque, saute, sergei, servais, sevey, shinsei, sinay, sochet, soiree, sorbet, souffle, stupay, survey, today, toray, torme, toupee, turvey, vadnais, valet, voisey, waga, wah-pei, zalay","depardieu, aaa, aka, antigay, attache, bouvier, bta, bua, cabaret, cabernet, cea, chevrolet, dak, deseret, disarray, disobey, dunlavey, ekk, faberge, fiance, intraday, ira, ita, jna, jonbenet, kkk, la-carre, lyonnais, mcgarvey, meservey, monterey, monterrey, overplay, overstay, perrier, piaget, pinochet, redisplay, santa-fe, sta, touvier, underplay, underway, usa, uva","asea, buga, cabriolet, ceta, cluj, communique, compusa, foia, hiaa, l'espalier, naivete, noaa, societe, yakutakay, zepa",,,,,,,1
2,a's,"as, baz, braz, chaz, chazz, faz, gaz, has, jazz, mraz, raz, vaz, as, blais, chez, fez, ghez, guez, nez, pez, pres, says, ynez","inaez, pizazz, pizzazz, whereas, arnaz, baez, baldez, basquez, borquez, bosquez, canez, chavez, cortez, dartez, deprez, dieguez, duenez, florez, francaise, francaises, fresquez, galvez, gamez, inez, jacquez, jaquez, jerez, maez, marez, marquez, mendez, miguez, montez, moshe's, nanez, ortez, paez, suarez, tamez, tellez, torrez, valdes, valdez, vallez, vasquez, vazquez, velez",razzmatazz,"valdes-perez
",,,,,,,1
3,a.,"a, a., ae, ay, bay, baye, bayh, bey, blay, bley, brae, bray, brey, c'est, cay, che, clay, cray, dae, day, daye, de, dey, dray, drey, fay, faye, fe, fey, flay, fray, frey, gay, gaye, gray, graye, grey, guay, gway, haigh, hay, haye, hey, hwe, j, j., jae, jay, jaye, k, k., kay, kaye, khe, klay, kley, kray, krey, lait, lay, laye, lei, ley, leyh, mae, may, maye, mei, mey, nay, ne, neigh, nej, ney, pay, paye, pei, play, pray, prey, quai, quay, quaye, rae, ray, raye, re, reay, rey, say, saye, schey, schley, se, seay, shay, shea, slay, sleigh, smay, snay, spey, spray, stay, stray, strey, sway, sze, tae, tay, they, tray, trey, vey, way, waye, wei, weigh, wey, whey, wray, wy, yay, yea","abbe, aday, aggrey, aigner, allais, allay, anway, array, asay, astray, away, b'nai, b-j, ballet, banpais, beauvais, belay, beret, bernay, betray, bombay, boulais, boulay, bouquet, buffet, ca, cache, cafe, calais, callais, calvey, carre, cathay, chalet, ciskei, cliche, coday, convey, crochet, croquet, d'orsay, da, decay, defray, dekay, delay, delray, devey, dismay, display, dk, donais, dorais, dossier, dovey, dumais, dupay, ek, essay, filet, fillet, francais, ga, galle, gerais, gervais, ha, halfway, hefei, hervey, hevey, hongwei, hooray, hurray, ilhae, imlay, jaquay, jose, jouret, kamei, langlais, levey, lurvey, mackay, maclay, macrae, maltais, manet, marais, marquai, mcbay, mccay, mcclay, mccrae, mccray, mccrea, mcgray, mckay, mclay, mcnay, mcquay, mcrae, mcray, mcshea, mcstay, mcvay, mcveigh, mcvey, millay, mobay, monet, morais, moray, moutray, mulvey, nihei, nikkei, nisei, nissei, o'dea, o'shea, obey, oj, ok, okay, olay, ole, orsay, palais, parquet, passe, per-se, pevey, porcher, portray, prepay, puree, purvey, rene, renee, repay, replay, resnais, risque, saute, sergei, servais, sevey, shinsei, sinay, sochet, soiree, sorbet, souffle, stupay, survey, today, toray, torme, toupee, turvey, vadnais, valet, voisey, waga, wah-pei, zalay","aaa, aka, antigay, attache, bouvier, bta, bua, cabaret, cabernet, cea, chevrolet, dak, deseret, disarray, disobey, dunlavey, ekk, faberge, fiance, intraday, ira, ita, jna, jonbenet, kkk, la-carre, lyonnais, mcgarvey, meservey, monterey, monterrey, overplay, overstay, perrier, piaget, pinochet, redisplay, santa-fe, sta, touvier, underplay, underway, usa, uva","asea, buga, cabriolet, ceta, cluj, communique, compusa, foia, hiaa, l'espalier, naivete, noaa, societe, yakutakay, zepa",,,,,,,1
4,a.'s,"a's, a.'s, a.s, baise, baize, bay's, bayes, bays, bayse, baze, blaese, blaise, blaize, blase, blayze, blaze, braise, brase, brays, braze, cayes, chaise, claes, claeys, clays, crase, cray's, crays, craze, dais, daise, dase, day's, days, days', daze, fay's, faze, fe's, frase, frays, fraze, gase, gays, gaze, glaze, gray's, grays, graze, grey's, hase, hayes, hays, hayse, haze, heys, j's, j.'s, jae's, jay's, jays, k's, k.'s, kase, kay's, kayes, kays, klase, lais, lase, lay's, lays, leis, leys, mae's, maes, mais, maize, mase, may's, mayes, mays, mays', mayse, maze, nase, nays, pais, paiz, pays, pei's, phase, phrase, play's, plays, praise, prays, preys, raise, rase, ray's, rays, raze, re's, res, sais, saiz, shays, shea's, shlaes, skase, slays, sprays, stays, strays, sways, swayze, tays, trays, wais, way's, ways, weighs, yeas","ablaze, allays, amaze, appraise, arrays, b-j's, ballet's, ballets, belays, berets, betrays, bombay's, bouquets, caches, cafes, chalets, cliches, conveys, da's, decays, defrays, delays, delhaize, deshaies, dismays, displays, dossiers, essays, filets, inaez, jose's, jouret's, lescaze, malaise, malays, mcveigh's, mj's, monet's, morays, obeys, okays, oles, portrays, repays, rephrase, replays, survey's, surveys, today's, todays, valets","cabernets, chevrolet's, chevrolets, delosreyes, dismutase, ira's, iras, lyonnais, lyonnaise, pinochet's, polonaise, reappraise, santa-fe's, touvier's","communiques, compusa's, indosuez, urokinase
",,,,,,,1
5,a.s,"a's, a.'s, a.s, baise, baize, bay's, bayes, bays, bayse, baze, blaese, blaise, blaize, blase, blayze, blaze, braise, brase, brays, braze, cayes, chaise, claes, claeys, clays, crase, cray's, crays, craze, dais, daise, dase, day's, days, days', daze, fay's, faze, fe's, frase, frays, fraze, gase, gays, gaze, glaze, gray's, grays, graze, grey's, hase, hayes, hays, hayse, haze, heys, j's, j.'s, jae's, jay's, jays, k's, k.'s, kase, kay's, kayes, kays, klase, lais, lase, lay's, lays, leis, leys, mae's, maes, mais, maize, mase, may's, mayes, mays, mays', mayse, maze, nase, nays, pais, paiz, pays, pei's, phase, phrase, play's, plays, praise, prays, preys, raise, rase, ray's, rays, raze, re's, res, sais, saiz, shays, shea's, shlaes, skase, slays, sprays, stays, strays, sways, swayze, tays, trays, wais, way's, ways, weighs, yeas","ablaze, allays, amaze, appraise, arrays, b-j's, ballet's, ballets, belays, berets, betrays, bombay's, bouquets, caches, cafes, chalets, cliches, conveys, da's, decays, defrays, delays, delhaize, deshaies, dismays, displays, dossiers, essays, filets, inaez, jose's, jouret's, lescaze, malaise, malays, mcveigh's, mj's, monet's, morays, obeys, okays, oles, portrays, repays, rephrase, replays, survey's, surveys, today's, todays, valets","cabernets, chevrolet's, chevrolets, delosreyes, dismutase, ira's, iras, lyonnais, lyonnaise, pinochet's, polonaise, reappraise, santa-fe's, touvier's","communiques, compusa's, indosuez, urokinase
",,,,,,,1
6,aaa,"a, a., ae, ay, bay, baye, bayh, bey, blay, bley, brae, bray, brey, c'est, cay, che, clay, cray, dae, day, daye, de, dey, dray, drey, fay, faye, fe, fey, flay, fray, frey, gay, gaye, gray, graye, grey, guay, gway, haigh, hay, haye, hey, hwe, j, j., jae, jay, jaye, k, k., kay, kaye, khe, klay, kley, kray, krey, lait, lay, laye, lei, ley, leyh, mae, may, maye, mei, mey, nay, ne, neigh, nej, ney, pay, paye, pei, play, pray, prey, quai, quay, quaye, rae, ray, raye, re, reay, rey, say, saye, schey, schley, se, seay, shay, shea, slay, sleigh, smay, snay, spey, spray, stay, stray, strey, sway, sze, tae, tay, they, tray, trey, vey, way, waye, wei, weigh, wey, whey, wray, wy, yay, yea","abbe, aday, aggrey, aigner, allais, allay, anway, array, asay, astray, away, b'nai, b-j, ballet, banpais, beauvais, belay, beret, bernay, betray, bombay, boulais, boulay, bouquet, buffet, ca, cache, cafe, calais, callais, calvey, carre, cathay, chalet, ciskei, cliche, coday, convey, crochet, croquet, d'orsay, da, decay, defray, dekay, delay, delray, devey, dismay, display, dk, donais, dorais, dossier, dovey, dumais, dupay, ek, essay, filet, fillet, francais, ga, galle, gerais, gervais, ha, halfway, hefei, hervey, hevey, hongwei, hooray, hurray, ilhae, imlay, jaquay, jose, jouret, kamei, langlais, levey, lurvey, mackay, maclay, macrae, maltais, manet, marais, marquai, mcbay, mccay, mcclay, mccrae, mccray, mccrea, mcgray, mckay, mclay, mcnay, mcquay, mcrae, mcray, mcshea, mcstay, mcvay, mcveigh, mcvey, millay, mobay, monet, morais, moray, moutray, mulvey, nihei, nikkei, nisei, nissei, o'dea, o'shea, obey, oj, ok, okay, olay, ole, orsay, palais, parquet, passe, per-se, pevey, porcher, portray, prepay, puree, purvey, rene, renee, repay, replay, resnais, risque, saute, sergei, servais, sevey, shinsei, sinay, sochet, soiree, sorbet, souffle, stupay, survey, today, toray, torme, toupee, turvey, vadnais, valet, voisey, waga, wah-pei, zalay","aaa, aka, antigay, attache, bouvier, bta, bua, cabaret, cabernet, cea, chevrolet, dak, deseret, disarray, disobey, dunlavey, ekk, faberge, fiance, intraday, ira, ita, jna, jonbenet, kkk, la-carre, lyonnais, mcgarvey, meservey, monterey, monterrey, overplay, overstay, perrier, piaget, pinochet, redisplay, santa-fe, sta, touvier, underplay, underway, usa, uva","asea, buga, cabriolet, ceta, cluj, communique, compusa, foia, hiaa, l'espalier, naivete, noaa, societe, yakutakay, zepa",,,,,,,1
7,aachen,,"aachen, docken, dokken, hakan, kochan, locken, lokken, rockin', talkin",moroccan,"conshohocken
",,,,,,,1
8,aaker,,"aaker, bachar, bacher, blocher, blocker, brocker, clocker, cocker, crocker, docker, fokker, gawker, hocker, laugher, locher, locker, maucher, mocker, ocker, plocher, rocker, shakur, shocker, soccer, sochor, stocker",,"ylvisaker
",,,,,,,1
9,aamodt,,"aamodt, comet, ramat, vomit
",,,,,,,,,1
10,aancor,,"aancor, encore, oncor
",,,,,,,,,1
